"","GSE15209_G144.GBM_vs_Fetal.NSC","GSE15209_G174.AnaOlig_vs_Fetal.NSC"
"1",-0.2671,-0.1018
"10",-0.1097,-0.0046
"100",-0.2789,-0.17665
"1000",-0.32455,-0.80765
"10000",-0.5304,-0.2849
"100009676",-0.1033,0.0888
"10001",-0.1475,0.04305
"10002",-0.23145,-0.1117
"10003",-0.14745,0.0615
"100038246",-0.1069,0.0599
"10004",-0.11335,0.01145
"100048912",-0.21245,0.0023
"100049716",0.30205,-0.014
"10005",0.0852,0.2375
"10006",-0.85185,-0.15235
"10007",-0.0679,0.2366
"10008",-0.0358666666666667,0.1044
"10009",-0.38475,-0.2579
"100093630",0.7379,0.7222
"100093698",-0.1619,-0.0231
"1001",-0.1,0.0293
"10010",1.2353,0.444733333333333
"100101467",0.16265,-0.05875
"100101938",-0.0843,0.0468
"10011",0.14925,0.44065
"100113407",-1.0046,-1.1853
"100124700",0.0482,0.3885
"100125288",-0.0985,-0.0176
"100126791",-0.09595,-0.0654
"100126793",-0.0089,-0.14085
"100127888",-0.3872,0.5916
"100127950",0.0736,-0.0464
"100127983",0.5188,-0.1595
"100128025",-0.08965,-0.0841
"100128071",0.0481,-0.0744
"100128079",-0.4324,-0.0554
"100128098",-0.0715,-0.1355
"100128124",0.1513,-0.001
"100128126",0.0827,0.1279
"100128139",-0.196,-0.2295
"100128164",-0.096,-0.057
"100128176",-0.1812,-0.0654
"100128191",0.0979,0.0145
"100128239",-0.1557,0.2749
"100128252",-0.76355,0.1351
"100128262",-0.0838,-0.1043
"100128285",-0.0642,0.0459
"100128292",-0.2267,-0.10525
"100128327",-0.09,0.0902
"100128496",-0.1321,0.0246
"100128511",-0.3369,-0.2095
"100128554",0.0086,0.2039
"100128590",-0.14095,0.16795
"100128594",-0.1907,0.0755
"100128640",0.087,0.0025
"100128653",-0.1625,-0.0357
"100128731",0.3845,0.0729
"100128750",0.0014,0.1596
"100128782",0.0602333333333333,-0.225433333333333
"100128788",-0.1097,-0.0018
"100128822",0.1341,0.9924
"100128881",-0.2494,-0.0465
"100128893",0.6789,-0.0891
"100128927",-0.4449,-0.2059
"100128946",-0.2171,-0.0616
"100128977",-0.132033333333333,0.0252666666666667
"100128988",0.0704,0.089
"100128993",-0.0444,0.0808
"100128998",-0.1217,-0.0463
"100129034",-0.46965,-0.47725
"100129128",0.0316,-0.0094
"100129175",0.1098,-0.0461
"100129195",-0.19135,-0.1615
"100129196",0.4173,1.064
"100129250",-0.1178,-0.18825
"100129271",-0.0955,-0.0155
"100129361",-0.135866666666667,-0.250166666666667
"100129387",-0.391433333333333,0.0352666666666667
"100129427",-0.0735,-0.0013
"100129460",0.5896,0.2547
"100129461",0.08245,0.1504
"100129482",-0.1758,-0.336
"100129516",-0.0508,0.0543
"100129550",0.3643,0.4675
"100129583",0.0118,-0.0256
"100129597",-0.0519,0.1002
"100129603",-0.1373,-0.0273
"100129617",-0.1461,-0.0499
"100129654",0.1321,-0.0204
"100129662",0.1511,-0.0237
"100129716",0.0402,0.159
"100129722",-0.23885,-0.11475
"100129726",-0.2061,0.0544
"100129792",-0.14735,0.09635
"100129794",-0.2291,-0.517
"100129827",0.0627,0.0048
"100129845",-0.0248,0.1326
"100129858",-0.0507,-0.0229
"100129935",-0.1923,-5e-04
"100129961",-0.2561,-0.1244
"100129969",-0.3037,-0.0832
"100129973",0.4547,0.5516
"10013",-0.3521,-0.1198
"100130111",-0.0385,-0.02615
"100130155",-0.0420333333333333,-0.166166666666667
"100130249",-0.1005,0.0674
"100130264",0.0144,0.1142
"100130268",0.2356,0.1664
"100130275",0.138,0.25395
"100130331",-0.0827,-0.0567
"100130348",-0.1676,-0.1814
"100130357",-0.0898,-0.1065
"100130417",-0.2915,-0.0945
"100130418",0.7619,0.0606
"100130452",-0.1716,0.0149
"100130460",-0.0185,0.055
"100130476",-0.25,-0.1329
"100130519",-0.1368,-0.20865
"100130522",-0.191,-0.0061
"100130548",-0.1796,-0.1139
"100130557",-0.2742,-0.14
"100130581",-0.2062,-0.0503
"100130613",-0.0528,-0.0599
"100130691",0.2081,0.0452
"100130700",-0.0114,-0.0548
"100130705",-0.186,0.4955
"100130717",-0.0637,-0.0845
"100130733",0.1611,0.2696
"100130744",-0.1422,-0.1814
"100130776",0.9326,0.823
"100130855",0.0493,0.0121
"100130872",-0.2952,-0.0673
"100130889",0.1765,0.0616
"100130894",0.3073,-0.0436
"100130933",-0.2044,-0.0761
"100130934",0.0015,0.148
"100130958",-0.0367,-0.739
"100130964",-0.1021,0.0698
"100130967",0.1539,0.0075
"100130987",0.5671,-0.3747
"100130992",0.2993,0.2741
"100131017",0.0057,0.1557
"100131067",0.28775,0.4995
"100131117",-0.2287,-0.1291
"100131138",0.0865,0.1085
"100131187",-0.4919,0.7557
"100131211",0.2662,0.2157
"100131213",0.137,0.0763
"100131303",-0.2608,-0.0454
"100131347",0.0937,0.0387
"100131366",0.0484,0.0783
"100131434",0.2225,0.101
"100131454",-0.2034,-0.1286
"100131496",-0.2075,-0.1458
"100131532",-0.0795,-0.1262
"100131561",-0.0484,0.0451
"100131564",0.8706,0.2284
"100131655",0.2049,0.2449
"100131691",-0.0452,0.1731
"100131733",-0.0658,-0.0516
"100131755",-0.1175,0.04622
"100131801",-0.3324,-0.0842
"100131814",0.2049,0.03
"100131816",-0.1335,0.0858
"100131825",0.0418,0.0636
"100131827",0.2952,-0.0473
"100131897",1.6188,-0.1656
"100131998",0.3193,0.0191
"100132057",0.014,0.0939
"100132074",-0.909,-0.1391
"100132077",-0.2613,-0.1093
"100132078",-0.0471,-0.0639
"100132111",-0.147,-0.0023
"100132116",-0.4199,-0.2147
"100132234",-0.0369,-0.0614
"100132273",-0.0637,0.094
"100132288",-0.0403,-0.70265
"100132341",-0.1715,-0.0422
"100132352",0.6163,0.1337
"100132354",-0.1107,0.0538
"100132356",-0.1341,0.0259
"100132406",0.3943,0.103
"100132464",0.0086,-0.0132
"100132618",-0.0843,-0.0229
"100132677",0.1315,0.2153
"100132686",0.0302,0.1103
"100132707",1.31665,0.86005
"100132735",-0.2007,0.068
"100132815",-1.0122,-0.9964
"100132891",3.2105,0.8044
"100132911",-0.0232,-0.0078
"100132987",-0.1968,-0.0467
"100133190",-0.0993,0.0204
"100133205",-0.0478,-0.0317
"100133308",-0.10845,-0.02425
"100133311",0.0447,0.0652
"100133319",-0.1717,0.0683
"100133461",-0.0606,0.1021
"100133612",-0.3677,-0.1569
"100133941",-2.14763333333333,-1.75415
"100133985",0.1066,0.1198
"100133991",-0.0554,-0.0739
"100134229",-0.0572,0.2249
"100134259",0.1771,0.1128
"100134368",-0.238,-0.2014
"100134713",-0.0339,0.06
"100137047",-0.8147,-0.1276
"10014",-0.2206,-0.12385
"100141515",0.0619,0.0989
"100144596",-0.2368,-0.0936
"100144597",-0.12845,0.0692
"100144602",0.3198,-0.042
"100144603",0.2751,0.0954
"100144604",-0.2319,-0.0917
"100144748",0.0979,0.1167
"100147773",-0.105,-0.0067
"10015",0.62955,0.3827
"10016",-0.2096,0.1586
"100169752",0.0111,0.062
"100169890",-3.1348,-0.498
"100169989",0.2307,0.182
"10017",-0.1438,-0.06805
"100170229",-0.0431,-0.0149
"100170765",-0.2284,0.0568
"100170841",-0.2976,0.2072
"10018",0.0495,-0.102314285714286
"100188893",-0.05205,-0.0343
"100188953",0.0957,0.0264
"100189589",-0.0996,0.061
"10019",0.6718,0.4209
"100190938",0.0388,-0.0627
"100190939",-0.00922500000000001,0.15465
"100192378",-0.31125,-1.06355
"100192379",-0.112,0.038
"100192386",-0.4169,-0.1024
"1002",-0.12045,-1.2482
"10020",0.4142,0.5621
"10021",-0.19255,-0.05405
"100216545",0.0548,0.2088
"100216546",0.28635,0.1891
"10022",0.2086,0.0343
"10023",-1.0881,-0.3351
"100233209",0.0243,0.0575
"10024",-0.00785,-0.106
"100240728",-0.2147,-0.11885
"100240734",-0.0382,0.0013
"100240735",0.8231,0.31055
"10025",-0.25198,-0.25622
"10026",0.7134,0.48905
"100270679",-0.1005,0.0174
"100270804",0.0875,0.1171
"100271722",0.3314,0.1075
"100272217",0.2494,0.18865
"100272228",0.3155,0.0584
"100286844",-0.0166,0.1234
"100286925",0.0777,0.0184
"100286938",-0.0981,0.0783
"100287015",0.3666,0.4186
"100287098",-0.0796,-0.1053
"100287177",0.0231,0.0544
"100287216",0.0328,0.2244
"100287227",0.0139,0.0984
"100287366",0.0511,0.0623
"100287387",2.8573,0.7871
"100287467",0.1602,0.2344
"100287482",2.3041,1.093
