"","GSE15209_G144.GBM_vs_Fetal.NSC","GSE15209_G174.AnaOlig_vs_Fetal.NSC"
"1",0.133072503374451,0.0652260332135883
"10",0.00773147797410014,0.00372197088560392
"100",0.0980661544148051,0.0480388578100324
"1000",0.0889583426498726,0.0435743865661678
"10000",0.164941442675893,0.0807663364566013
"100009676",0.0110866246957797,0.00543081850305386
"10001",0.0663432439255946,0.0324995067551795
"10002",0.0172795197556106,0.0084704062646932
"10003",0.0634488891369182,0.0310410262919451
"100038246",0.0102710576810935,0.00503576951291038
"10004",0.0195177355193963,0.00964186943668309
"100048912",0.0136357678642555,0.00667642420943414
"100049716",0.0341172413863251,0.0167181189782679
"10005",0.0174053639204403,0.00852148284009446
"10006",0.170006396973647,0.0832479971422694
"10007",0.0382234586766126,0.0187171004585505
"10008",0.0436276238939504,0.0213677439740544
"10009",0.0402743024253698,0.0197310333331071
"100093630",0.178917603792815,0.0876206588044489
"100093698",0.0179206504562723,0.00879620082457892
"1001",0.112834609624409,0.0553855582974468
"10010",0.155352628270472,0.0761063055746155
"100101467",0.0252424722252527,0.0121270216288883
"100101938",0.0298289203132904,0.0146165663895451
"10011",0.0594005856543962,0.0290562499904912
"100113407",0.834522206238942,0.408730558959374
"100124700",0.131338119735429,0.0643163239398029
"100125288",0.0117240070676226,0.00576498885936747
"100126791",0.0164088345391781,0.00802261689760662
"100126793",0.0315159189883781,0.0153697140917417
"100127888",0.217208952674001,0.106419499193052
"100127950",0.0100792725662522,0.00492906400234933
"100127983",0.0405357778495112,0.0198566168102671
"100128025",0.0236507986071071,0.0116316291385763
"100128071",0.0200427033513137,0.00983135703304685
"100128079",0.18152015994299,0.0890011712511915
"100128098",0.0110689224108216,0.00541891783211092
"100128124",0.0088127092938527,0.00416233090530697
"100128126",0.0202539283003434,0.00991454690556219
"100128139",0.0140440914352973,0.00687735601207775
"100128164",0.0120952118381991,0.0059187571608263
"100128176",0.0106011148429805,0.00520200295795118
"100128191",0.0930154986849895,0.0453358518719772
"100128239",0.0602732694323289,0.0295343004605865
"100128252",0.132845992309024,0.0650481626609954
"100128262",0.0182744689162355,0.0089481373265157
"100128285",0.0177777777777778,0.0087318980174856
"100128292",0.0156093696332435,0.0076494792378404
"100128327",0.0464476813317479,0.0227287247569154
"100128496",0.0172703315619899,0.00846978325466915
"100128511",0.0246894802973139,0.0120840749253091
"100128554",0.0152678689390937,0.00742371744768794
"100128590",0.0344807223417227,0.0168818569872233
"100128594",0.0259285319158024,0.0127096416397225
"100128640",0.0112841980973849,0.00550326233391154
"100128653",0.0288144684755884,0.014085775697431
"100128731",0.0462338976432023,0.0226769629943844
"100128750",0.0181213017751479,0.00847750763480101
"100128782",0.0562111403911921,0.0275229417731639
"100128788",0.01667971945903,0.0081
"100128822",0.165432053790318,0.0810017732154741
"100128881",0.0253797157875914,0.0124585464159143
"100128893",0.0124228190184771,0.0060787592669798
"100128927",0.0244649015003484,0.0119859826337077
"100128946",0.00709726154277511,0.00347213364230091
"100128977",0.0194369914741681,0.00951451993659908
"100128988",0.0301562843399991,0.01476266467868
"100128993",0.0122230202695195,0.00598305063807635
"100128998",0.0141939873723271,0.00696699742915068
"100129034",0.0950946135648407,0.0465767467302581
"100129128",0.0320541854922197,0.0156666388889381
"100129175",0.00961443469560447,0.00470612333475057
"100129195",0.0360325753542662,0.0176749640574919
"100129196",0.296109329306226,0.145051390570608
"100129250",0.0256421170386986,0.0125551850137535
"100129271",0.00836769314895553,0.00407200560131701
"100129361",0.0284416333215381,0.0139283085312107
"100129387",0.0903738651179982,0.0442714500377092
"100129427",0.0187268345442873,0.0095539600881904
"100129460",0.070055224840354,0.0343075200470278
"100129461",0.0263594668021579,0.012908046670677
"100129482",0.19688326328796,0.09645046220588
"100129516",0.03534733982723,0.017328132231405
"100129550",0.0417929418892756,0.0204669106463665
"100129583",0.0124392065494334,0.00609904773107905
"100129597",0.0111096052359801,0.00543621381128508
"100129603",0.0119574468851669,0.00587075084626044
"100129617",0.0204922338797837,0.0100200702408127
"100129654",0.00810196250642849,0.00397168627457717
"100129662",0.0101960869322586,0.00497528698979592
"100129716",0.0208055005498001,0.0101978570220592
"100129722",0.0154543046575244,0.00757507637210415
"100129726",0.0257406878581708,0.0126121617078787
"100129792",0.0459326234638116,0.0224921303354132
"100129794",0.0648417514938877,0.0317516188610791
"100129827",0.016795902836867,0.00817134284528711
"100129845",0.0148079521476635,0.00723334375832714
"100129858",0.011450535720554,0.00559685822021808
"100129935",0.0142431403663128,0.00743162901307967
"100129961",0.042814253390961,0.0209580627881912
"100129969",0.0156070084729315,0.00764751536840987
"100129973",0.182971470898759,0.0896356279043985
"10013",0.0213670934955909,0.0105112937597578
"100130111",0.0143153125596357,0.00700904911287685
"100130155",0.121179081472284,0.0593557751616142
"100130249",0.0127856859155763,0.006262482115037
"100130264",0.015761521850337,0.00771338631033915
"100130268",0.040687863576656,0.0199229070381741
"100130275",0.0563297778778754,0.0276378976099174
"100130331",0.0251672387594811,0.0123166985551731
"100130348",0.0256097784567481,0.0125415662373339
"100130357",0.0150539052770938,0.00736945993146228
"100130417",0.0225320573622591,0.0110319565351644
"100130418",0.0316904716965929,0.015509615779335
"100130452",0.0449477717618575,0.0219369666691699
"100130460",0.00865985652344651,0.00426983138005368
"100130476",0.0159116985356051,0.00779167357204728
"100130519",0.0347975865793827,0.017051372182757
"100130522",0.0114150404348731,0.00550701215361027
"100130548",0.00970597855343242,0.00475135057325272
"100130557",0.0203297091400532,0.00995869979845472
"100130581",0.0123629936610437,0.00606652356254641
"100130613",0.0245475437839551,0.012013603995818
"100130691",0.00748337192432821,0.00366130295389501
"100130700",0.010491060076576,0.00516242344204803
"100130705",0.14473908203308,0.0709296748388198
"100130717",0.0147893087798931,0.00724711038188742
"100130733",0.0238025618917547,0.0116630309446597
"100130744",0.0208202497862847,0.0101991782352235
"100130776",0.174818088430951,0.085633854348545
"100130855",0.0249520539767352,0.0123004567828941
"100130872",0.00898256276664513,0.00439554239213664
"100130889",0.0132748183536237,0.00650262043148441
"100130894",0.0202497051398911,0.00991341045652659
"100130933",0.0229820472861051,0.0112524364498414
"100130934",0.0123456790123457,0.00581636130752099
"100130958",0.0213959121415594,0.0104895296464778
"100130964",0.013652978408973,0.00667715889331331
"100130967",0.0195638810559948,0.00951195631771456
"100130987",0.0553575795798532,0.0271128727635254
"100130992",0.0190975095082181,0.00935445261167326
"100131017",0.0186843331090523,0.00908084535080435
"100131067",0.0628556881713465,0.0307191189235212
"100131117",0.0178370032271035,0.008736537495904
"100131138",0.0287442715065045,0.0140949039826609
"100131187",1.13509940497795,0.556189465853677
"100131211",0.0126148694877449,0.00617604605054411
"100131213",0.0340675925737199,0.0166463568054583
"100131303",0.00795047596744086,0.00389337579837286
"100131347",0.0132341790016057,0.00648686927530614
"100131366",0.0242041982281844,0.0118364241318418
"100131434",0.0303250999565217,0.0148434100992228
"100131454",0.0108957342151678,0.00533532085538414
"100131496",0.0108321978640603,0.00530538700894268
"100131532",0.0138387824595291,0.00676988424489379
"100131561",0.0108013551860785,0.0052930964907229
"100131564",0.0794536753353859,0.0389022822387476
