"","GSE15209_G144.GBM_vs_Fetal.NSC","GSE15209_G174.AnaOlig_vs_Fetal.NSC"
"1",-0.7322,-0.3986
"10",-1.2476,-0.0754
"100",-0.89135,-0.8142
"1000",-1.0638,-3.83085
"10000",-1.37374,-1.07794
"100009676",-0.9874,1.2232
"10001",-0.58385,0.2296
"10002",-1.76775,-1.22515
"10003",-0.34065,0.36945
"100038246",-1.0548,0.8441
"10004",-0.75705,0.12825
"100048912",-2.13855,-0.1717
"100049716",1.4444,0.2723
"10005",0.6458,2.5728
"10006",-2.06625,-0.52965
"10007",-0.3473,1.7294
"10008",-0.666766666666667,0.4072
"10009",-1.95415,-1.96595
"100093630",1.7445,2.4398
"100093698",-1.2094,-0.2463
"1001",-0.2977,0.1245
"10010",3.13106666666667,1.59986666666667
"100101467",0.9978,-0.5654
"100101938",-0.4881,0.3871
"10011",0.59425,2.58115
"100113407",-1.0997,-1.854
"100124700",0.133,1.5319
"100125288",-0.9097,-0.2318
"100126791",-0.7654,-0.70235
"100126793",-0.062,-1.01895
"100127888",-0.8308,1.8135
"100127950",0.7331,-0.6609
"100127983",2.5768,-1.1319
"100128025",-0.5869,-0.78605
"100128071",0.30495,-0.77335
"100128079",-1.0149,-0.1857
"100128098",-0.6796,-1.8407
"100128124",1.6117,-0.0155
"100128126",0.5811,1.2845
"100128139",-1.6539,-2.7674
"100128164",-0.8729,-0.7409
"100128176",-1.70305,-0.78625
"100128191",0.321,0.0681
"100128239",-0.6342,1.5996
"100128252",-2.08435,0.5394
"100128262",-0.6199,-1.1026
"100128285",-0.4815,0.4912
"100128292",-1.80405,-1.2014
"100128327",-0.4176,0.5983
"100128496",-1.0052,0.2673
"100128511",-2.1441,-1.9058
"100128554",0.0696,2.3665
"100128590",-0.77215,1.32215
"100128594",-1.1843,0.6697
"100128640",0.819,0.0337
"100128653",-0.9573,-0.3008
"100128731",1.7882,0.4841
"100128750",0.0104,1.7334
"100128782",0.250033333333333,-1.3835
"100128788",-0.8494,-0.02
"100128822",0.3297,3.4869
"100128881",-1.5655,-0.4166
"100128893",6.0911,-1.1428
"100128927",-2.8444,-1.8807
"100128946",-2.577,-1.0454
"100128977",-1.01716666666667,0.091
"100128988",0.4054,0.7325
"100128993",-0.4016,1.0446
"100128998",-1.0215,-0.5547
"100129034",-1.62805,-2.2081
"100129128",0.1765,-0.0751
"100129175",1.1198,-0.672
"100129195",-0.90305,-1.18985
"100129196",0.8293,2.85805
"100129250",-0.7324,-1.67755
"100129271",-1.044,-0.2429
"100129361",-0.0529,-1.9992
"100129387",-1.83976666666667,-0.272133333333333
"100129427",-0.5371,-0.0133
"100129460",2.2276,1.3751
"100129461",0.36695,1.0117
"100129482",-0.3962,-1.0819
"100129516",-0.2702,0.4125
"100129550",1.782,3.2678
"100129583",0.1058,-0.3278
"100129597",-0.4924,1.359
"100129603",-1.2556,-0.3563
"100129617",-1.0206,-0.4985
"100129654",1.4676,-0.3237
"100129662",1.4964,-0.336
"100129716",0.2787,1.5745
"100129722",-1.93165,-1.32555
"100129726",-1.2846,0.4844
"100129792",-0.39915,0.3023
"100129794",-0.8997,-2.9014
"100129827",0.4838,0.0531
"100129845",-0.2038,1.5591
"100129858",-0.4738,-0.3061
"100129935",-1.6113,-0.0058
"100129961",-1.2377,-0.8593
"100129969",-2.431,-0.9514
"100129973",1.063,1.8424
"10013",-2.37756666666667,-1.1487
"100130111",-0.3711,-0.38265
"100130155",0.0878333333333334,-0.4289
"100130249",-0.8888,0.8517
"100130264",0.1147,1.3003
"100130268",1.168,1.1789
"100130275",0.4603,1.27415
"100130331",-0.5213,-0.5109
"100130348",-1.0473,-1.6198
"100130357",-0.7319,-1.2406
"100130417",-1.84985,-0.7494
"100130418",4.2799,0.4866
"100130452",-0.8094,0.1006
"100130460",-0.1988,0.8417
"100130476",-1.9819,-1.5056
"100130519",-0.8467,-1.57355
"100130522",-1.7877,-0.0822
"100130548",-1.823,-1.6524
"100130557",-1.9231,-1.4029
"100130581",-1.8545,-0.6458
"100130613",-0.337,-0.5465
"100130691",2.4056,0.747
"100130700",-0.1113,-0.7627
"100130705",-0.4889,1.8605
"100130717",-0.5238,-0.9926
"100130733",1.0442,2.4964
"100130744",-0.9855,-1.7962
"100130776",2.2305,2.8124
"100130855",0.3121,0.1091
"100130872",-3.1147,-1.0151
"100130889",1.5319,0.7639
"100130894",2.1595,-0.4379
"100130933",-1.3483,-0.7174
"100130934",0.0135,1.9406
"100130958",-0.2509,-7.2155
"100130964",-0.8738,0.8542
"100130967",1.1003,0.0769
"100130987",2.4103,-2.2756
"100130992",2.1658,2.834
"100131017",0.0417,1.6339
"100131067",0.9581,2.5447
"100131117",-1.7124,-1.3812
"100131138",0.5102,0.9139
"100131187",-0.4617,1.0133
"100131211",2.3701,2.7447
"100131213",0.7292,0.57515
"100131303",-2.9249,-0.7276
"100131347",0.8145,0.4805
"100131366",0.3111,0.7197
"100131434",1.2777,0.829
"100131454",-1.9486,-1.7606
"100131496",-1.9937,-2.0017
"100131532",-0.6758,-1.5338
"100131561",-0.4657,0.6199
"100131564",3.0886,1.158
"100131655",1.7113,2.9235
"100131691",-0.3507,1.9177
"100131733",-0.4004,-0.4487
"100131755",-0.5078,0.26782
"100131801",-1.289,-0.4665
"100131814",1.2341,0.2581
"100131816",-1.1877,1.0906
"100131825",0.2651,0.5763
"100131827",1.553,-0.3553
"100131897",1.4871,-0.2174
"100131998",1.0887,0.093
"100132057",0.1153,1.1091
"100132074",-2.5112,-0.5491
"100132077",-2.271,-1.3571
"100132078",-0.439,-0.8523
"100132111",-1.0968,-0.0248
"100132116",-3.5486,-2.5931
"100132234",-0.3353,-0.7969
"100132273",-0.4858,1.0255
"100132288",-0.260475,-1.950825
"100132341",-1.4739,-0.5188
"100132352",3.5209,1.091
"100132354",-0.6432,0.4465
"100132356",-0.7649,0.2112
"100132406",1.0494,0.3917
"100132464",0.0693,-0.1527
"100132618",-0.814,-0.3166
"100132677",1.2494,2.9238
"100132686",0.1985,1.0363
"100132707",6.5457,6.34105
"100132735",-2.0835,1.0091
"100132815",-3.3042,-4.6474
"100132891",5.5238,1.9775
"100132911",-0.1773,-0.0848
"100132987",-1.8881,-0.6406
"100133190",-0.6368,0.1872
"100133205",-0.2934,-0.2782
"100133308",-0.5932,-0.20805
"100133311",0.385,0.8017
"100133319",-0.9446,0.5372
"100133461",-0.37,0.8904
"100133612",-3.0881,-1.8829
"100133941",-1.95436666666667,-2.22101666666667
"100133985",1.0528,1.6902
"100133991",-0.5794,-1.1036
"100134229",-0.3698,2.0761
"100134259",0.519,0.4721
"100134368",-1.7138,-2.0715
"100134713",-0.2109,0.5325
"100137047",-4.3439,-0.9725
"10014",-0.77445,-0.7636
"100141515",0.4457,1.0173
"100144596",-2.3639,-1.3353
"100144597",-1.3175,1.1263
"100144602",1.9349,-0.363
"100144603",1.5877,0.7869
"100144604",-1.8548,-1.0477
"100144748",0.7681,1.3094
"100147773",-0.6038,-0.055
"10015",3.15435,2.93075
"10016",-1.1272,1.2189
"100169752",0.1052,0.8407
"100169890",-3.3052,-0.7502
"100169989",1.281,1.444
"10017",-1.0072,-0.67875
"100170229",-0.4538,-0.2235
"100170765",-1.9779,0.7026
"100170841",-1.159,1.1532
"10018",0.150314285714286,-0.5476
"100188893",-0.3721,-0.3539
"100188953",0.6918,0.2725
"100189589",-0.4973,0.4355
"10019",1.2665,1.1338
"100190938",0.1474,-0.3399
"100190939",-0.273325,0.871625
"100192378",-0.43225,-2.30675
"100192379",-0.8377,0.4059
"100192386",-1.3528,-0.4746
"1002",-0.32795,-5.0916
"10020",1.5584,3.0223
"10021",-1.55835,-0.62585
"100216545",0.2694,1.4652
"100216546",1.3943,1.32815
"10022",1.645,0.3868
"10023",-3.725,-1.6391
"100233209",0.2023,0.6832
"10024",-0.01985,-0.5628
"100240728",-1.98365,-1.568
"100240734",-0.2687,0.0134
"100240735",2.8259,1.64945
"10025",-1.63944,-2.24004
"10026",2.2835,2.1871
"100270679",-1.22,0.3018
"100270804",0.5768,1.1026
"100271722",1.52455,0.7539
"100272217",2.0491,2.1249
"100272228",1.675,0.4429
"100286844",-0.0045,1.43825
"100286925",0.4693,0.1592
"100286938",-0.9908,1.1301
"100287015",1.7681,2.8851
"100287098",-0.6248,-1.1817
"100287177",0.1584,0.8735
"100287216",0.1359,1.3304
"100287227",0.088,0.8872
"100287366",0.4001,0.6972
"100287387",3.3377,1.3138
"100287467",1.1688,2.4431
"100287482",4.5801,3.1044
"100287497",2.0439,1.94585
"100287569",0.7441,1.01825
"100287616",2.2317,1.1959
"100287765",-0.2931,-1.52575
"100287808",-0.413,0.1876
"100287814",-0.3401,0.4868
"100287902",-1.1141,-0.7886
"100287932",-2.33985,-1.91445
"100288079",0.9695,0.5421
"100288122",-1.1145,-0.2539
"100288123",0.9051,0.9216
"100288152",-0.5588,1.5722
"100288175",-1.4061,0.4086
"100288181",-1.4849,-0.3611
"100288198",-1.0962,-0.8308
"100288413",-2.0078,-2.2135
"100288432",0.4419,1.84205
"100288730",-1.3486,-0.8188
"100288797",-0.2495,0.9387
"100288805",-0.5028,-0.5261
"100288911",0.0601,-1.20455
"100289019",1.0858,2.0661
"100289061",-0.4245,0.8724
"100289092",-0.5691,0.3469
"100289098",4.9987,9.6298
"100289137",-0.0078,-0.0086
"100289187",0.3268,4.0948
"100289230",-0.3644,0.6
"100289274",-0.8851,0.8884
"100289341",0.8617,-2.5116
"100289361",2.7709,2.1007
"100289373",2.5751,1.83145
"100289410",-1.1869,0.6981
"100289495",1.8597,0.974
"100289509",1.0364,1.162
"100289635",-2.4913,-1.031
"100289678",0.63885,2.02255
"100292680",-0.6434,0.0329
"100293516",-2.6137,-3.2927
"100294362",-0.2036,-0.5279
"100294720",-0.8866,-0.676
"1003",-0.1589,0.8336
"100302522",0.2858,-0.5144
"100302650",1.1153,1.9469
"100302691",-0.5992,0.0544
"100302740",-0.0773,-0.8756
"100303728",2.0725,1.7992
"100306951",1.2905,0.8145
"100309464",-2.2779,-2.8453
"100310756",3.1197,1.1645
"100316868",0.0603333333333334,0.9925
"100316904",0.1147,0.1693
"100329135",-1.7173,-1.3835
"100359394",-0.981,-0.1772
"10036",-1.24186666666667,-2.23046666666667
"100379174",-0.6509,1.237
"100379661",0.5239,-0.0165
"10038",-1.38676666666667,-0.840733333333333
"100381270",2.9383,0.77825
"10039",3.3773,3.1688
"1004",0.09858,-1.50312
"10040",-0.208,-0.9978
"100419583",-1.5182,2.0697
"10042",-0.0241,-1.6796
"100421436",5.1573,2.5999
"100421577",1.9704,-0.1125
"100422212",-0.2151,0.5692
"100422737",-0.2848,0.47595
"100423062",-0.5017,-0.11725
"10043",-1.0191,0.3964
"10044",-0.28885,0.7228
"10045",-0.3613,0.6334
"10046",-1.3201,0.2294
"10047",-0.7674,0.8208
"10048",-0.71965,0.19895
"10049",0.2265,1.35513333333333
"100498859",-1.0385,0.8772
"100499171",0.3439,1.0869
"100499177",2.7601,4.7221
"100499466",0.40255,-3.6412
"100499467",-0.9372,-0.45905
"1005",0.2945,-0.86675
"10050",-0.4414,0.4153
"100500850",3.295,1.0464
"100500854",-0.8792,-0.6148
"100505474",-0.4327,0.2226
"100505478",1.4587,2.1169
"100505483",0.0883,1.9219
"100505495",-3.5472,-1.8675
"100505515",-0.7472,-1.2303
"100505518",-1.9664,-1.0532
"100505534",-3.0839,-0.6844
"100505536",-0.6634,1.915
"100505538",3.63035,3.1183
"100505540",0.6734,0.5678
"100505545",0.0267,-0.141
"100505547",1.8967,1.7902
"100505555",0.7026,-1.1207
"100505570",-0.1594,-0.0517
"100505573",-1.29425,1.52965
"100505576",-0.5135,-0.0293
"100505583",-2.9901,-1.223
"100505592",-0.9933,1.238
"100505601",-0.8053,0.1945
"100505609",0.90315,1.2526
"100505616",0.6821,3.6238
"100505619",-1.796,-2.4199
"100505621",-0.5637,-0.8196
"100505624",-1.4641,-0.918
"100505633",1.87565,0.37055
"100505635",-1.0191,-1.1055
"100505641",-1.4279,-1.8671
