"","GSE45899_MGG4.GBM_vs_Human.embryonic.NSC"
"1",0.9247
"10",-1.127
"100",-0.6016
"1000",-1.6222
"10000",-0.0666
"100009676",-0.1778
"10001",-0.1128
"10002",0.1736
"10003",0.69925
"100038246",-1.9406
"10004",-0.2537
"100048912",-0.41055
"100049716",-0.00274999999999997
"10005",1.0895
"10006",0.5188
"10007",1.7855
"10008",-0.508333333333333
"10009",0.1634
"100093630",1.7911
"100093698",0.0502
"1001",-2.2267
"10010",1.44116666666667
"100101467",0.2235
"100101938",-0.6842
"10011",0.12605
"100113407",1.5537
"100124700",0.0298
"100125288",-0.6762
"100126791",-0.68395
"100126793",0.6969
"100127888",1.4996
"100127950",0.5212
"100127983",2.1761
"100128025",-0.26155
"100128071",0.24425
"100128079",3.1013
"100128098",-0.4496
"100128124",-0.1422
"100128126",-1.1793
"100128139",-0.1195
"100128164",-0.8848
"100128176",0.1678
"100128191",0.3644
"100128239",-0.6471
"100128252",5.0848
"100128262",-0.986
"100128285",-0.0434
"100128292",-0.49505
"100128327",0.1528
"100128496",-0.5393
"100128511",-0.039
"100128554",0.1042
"100128590",-0.2935
"100128594",0.3385
"100128640",-0.8077
"100128653",-0.9615
"100128731",0.9002
"100128750",-0.443
"100128782",1.17726666666667
"100128788",-0.7408
"100128822",2.6612
"100128881",-0.2997
"100128893",-0.3891
"100128927",0.6937
"100128946",-0.829
"100128977",-0.755133333333333
"100128988",-1.004
"100128993",-0.035
"100128998",-0.9535
"100129034",-0.42085
"100129128",-0.4022
"100129175",-0.5662
"100129195",0.47115
"100129196",1.57505
"100129250",0.5155
"100129271",-0.5764
"100129361",0.540933333333333
"100129387",1.56703333333333
"100129427",-0.3549
"100129460",1.1567
"100129461",0.167
"100129482",2.7555
"100129516",-0.1839
"100129550",0.5834
"100129583",0.6246
"100129597",-0.9482
"100129603",-0.9158
"100129617",-0.6466
"100129654",0.0212
"100129662",-0.0973
"100129716",-0.6649
"100129722",-0.4789
"100129726",-0.5009
"100129792",1.5015
"100129794",1.8948
"100129827",-1.3455
"100129845",-1.7787
"100129858",0.6694
"100129935",-0.218
"100129961",-0.0329
"100129969",-1.2222
"100129973",0.3841
"10013",-0.954733333333333
"100130111",-0.3245
"100130155",-2.67613333333333
"100130249",-0.359
"100130264",-1.0108
"100130268",-0.0871
"100130275",1.73535
"100130331",-0.8884
"100130348",-0.5736
"100130357",0.458
"100130417",-0.7588
"100130418",0.9273
"100130452",0.1714
"100130460",-0.3722
"100130476",-0.0643
"100130519",-1.38435
"100130522",-1.2706
"100130548",0.3829
"100130557",-0.0222
"100130581",-0.2751
"100130613",-0.5653
"100130691",1.7188
"100130700",-0.5369
"100130705",1.1349
"100130717",1.0655
"100130733",0.7094
"100130744",0.101
"100130776",0.3345
"100130855",1.3794
"100130872",-0.9691
"100130889",-0.1312
"100130894",-0.2674
"100130933",-0.9266
"100130934",-0.528
"100130958",0.8608
"100130964",0.0517
"100130967",0.1609
"100130987",0.5682
"100130992",0.2179
"100131017",-0.6372
"100131067",1.61795
"100131117",-0.7957
"100131138",0.4386
"100131187",-0.5747
"100131211",0.1993
"100131213",-0.52055
"100131303",-1.6568
"100131347",0.8494
"100131366",-0.4077
"100131434",-0.169
"100131454",0.2798
"100131496",-0.4065
"100131532",-0.7767
"100131561",-0.014
"100131564",1.2555
"100131655",-0.3531
"100131691",0.5772
"100131733",-0.8875
"100131755",0.24424
"100131801",0.3982
"100131814",0.19
"100131816",-0.4871
"100131825",-0.6907
"100131827",2.8805
"100131897",0.245
"100131998",1.5148
"100132057",0.211
"100132074",0.4261
"100132077",-0.2946
"100132078",-0.3832
"100132111",-0.9322
"100132116",0.057
"100132234",-0.1991
"100132273",0.2751
"100132288",1.55795
"100132341",0.0734
"100132352",2.5893
"100132354",-1.1635
"100132356",1.7644
"100132406",0.0889
"100132464",-0.0145
"100132618",-0.1683
"100132677",-0.1534
"100132686",-0.1753
"100132707",0.2747
"100132735",-0.265
"100132815",-0.8962
"100132891",0.7215
"100132911",-0.0081
"100132987",-1.1824
"100133190",-1.1434
"100133205",0.2406
"100133308",-0.3709
"100133311",-0.375
"100133319",0.185
"100133461",-1.0551
"100133612",-1.0095
"100133941",-4.78651666666667
"100133985",-0.5576
"100133991",-0.8253
"100134229",0.2897
"100134259",-0.9794
"100134368",-0.895
"100134713",0.653
"100137047",-0.2735
"10014",0.03655
"100141515",-0.4283
"100144596",-0.2931
"100144597",-0.73965
"100144602",-0.8926
"100144603",0.6545
"100144604",-1.0557
"100144748",-0.8223
"100147773",1.2676
"10015",0.41985
"10016",0.4063
"100169752",-0.1817
"100169890",2.4594
"100169989",-0.2088
"10017",-0.39455
"100170229",-0.393
"100170765",-0.1034
"100170841",-0.0234
"10018",-0.294014285714286
"100188893",0.68085
"100188953",-0.944
"100189589",0.2475
"10019",0.1358
"100190938",0.751
"100190939",0.27495
"100192378",0.14485
"100192379",-0.4928
"100192386",0.0179
"1002",-2.5593
"10020",1.1969
"10021",-1.2035
"100216545",1.3048
"100216546",0.91155
"10022",-0.3274
"10023",0.0081
"100233209",0.001
"10024",-0.35115
"100240728",-0.2579
"100240734",1.5096
"100240735",1.003
"10025",-1.16764
"10026",0.78855
"100270679",-0.2719
"100270804",1.5615
"100271722",-0.27445
"100272217",2.5714
"100272228",0.7251
"100286844",0.1243
"100286925",-0.5751
"100286938",-0.8167
"100287015",1.3598
"100287098",-0.8489
"100287177",-0.5427
"100287216",0.2192
"100287227",-0.9041
"100287366",-0.2561
"100287387",0.0032
"100287467",-0.5672
"100287482",1.7487
"100287497",1.19565
"100287569",1.6804
"100287616",-0.6788
"100287765",0.46975
"100287808",0.3704
"100287814",-0.7167
"100287902",-0.5584
"100287932",-0.9362
"100288079",-1.7597
"100288122",-0.6773
"100288123",0.2635
"100288152",0.2517
"100288175",-0.7439
"100288181",-0.3162
"100288198",0.19555
"100288413",-0.738
"100288432",-0.1066
"100288730",1.6253
"100288797",0.19755
"100288805",-0.9002
"100288911",-0.02965
"100289019",0.3462
"100289061",-0.1126
"100289092",0.6007
"100289098",2.4219
"100289137",2.6231
"100289187",-0.0732
"100289230",2.3892
"100289274",3.3431
"100289341",0.5238
"100289361",1.4783
"100289373",0.58135
"100289410",1.2142
"100289495",-0.5068
"100289509",-1.3159
"100289635",0.2136
"100289678",-0.2793
"100292680",-0.4296
"100293516",0.3903
"100294362",0.0972
"100294720",-0.5572
"1003",-1.3602
"100302522",-1.1167
"100302650",0.2152
"100302691",-1.09435
"100302740",-0.1168
"100303728",0.5021
"100306951",0.8775
"100309464",-0.5568
"100310756",0.2778
"100316868",-0.370166666666667
"100316904",-0.8955
"100329135",0.0773
"100359394",-0.1468
"10036",-0.838066666666667
"100379174",-0.6834
"100379661",-0.1865
"10038",0.121666666666667
"100381270",0.40325
"10039",-0.3879
"1004",-1.28104
"10040",0.9733
"100419583",0.339
"10042",0.4961
"100421436",-0.1611
"100421577",-0.2021
"100422212",-0.4698
"100422737",-0.31615
"100423062",-0.48305
"10043",-0.0045
"10044",-0.2081
"10045",-0.1949
"10046",2.2255
"10047",-0.5434
"10048",0.127475
"10049",-0.1168
"100498859",-0.4749
"100499171",0.7256
"100499177",1.8085
"100499466",-0.8526
"100499467",2.01765
"1005",-0.61915
"10050",-0.31375
"100500850",1.1023
"100500854",2.261
"100505474",-1.0436
"100505478",-1.4862
"100505483",1.1725
"100505495",0.0974
"100505515",-1.2432
"100505518",0.1376
"100505534",-0.0736
"100505536",-0.5628
"100505538",2.4758
"100505540",-0.5842
"100505545",-0.5436
"100505547",-1.5166
"100505555",-0.4564
"100505570",-0.2999
"100505573",-0.74045
"100505576",-2.8756
"100505583",-0.345
"100505592",-0.207
"100505601",0.6262
"100505609",-0.1552
"100505616",2.9429
"100505619",-0.0526
"100505621",-1.6746
"100505624",-0.5044
"100505633",-0.5281
"100505635",-0.7262
"100505641",-0.299
"100505658",-0.5601
"100505659",-0.4094
"100505666",-0.1567
"100505676",-0.0653
"100505681",0.0043
"100505683",0.0999
"100505685",-0.3166
"100505687",0.027
"100505696",-0.5087
"100505702",0.0251
"100505715",1.4863
"100505716",-0.9695
"100505718",-0.2593
"100505738",3.55605
"100505741",-0.1513
"100505746",-0.23875
"100505758",-0.8332
"100505761",0.6943
"100505768",-0.2904
"100505774",-0.4779
"100505776",0.0536
"100505782",-0.1051
"100505783",1.1224
"100505806",0.7902
"100505811",0.1638
"100505812",0.79505
"100505824",-0.3497
"100505826",-0.7395
"100505832",0.71
"100505835",-0.8455
"100505839",-0.7643
"100505841",-0.6601
"100505851",0.00445
"100505853",-0.264
"100505854",0.8234
"100505865",1.7574
"100505875",-0.3105
"100505876",1.8821
"100505877",-0.3577
"100505878",-0.2531
"100505879",-0.03425
"100505881",0.0138666666666667
"100505890",-0.7483
"100505893",-0.7096
"100505894",2.55065
"100505912",0.4245
"100505918",-1.352
"100505920",-0.523
"100505929",-0.3398
"100505933",0.1243
"100505942",-0.3575
"100505964",-0.6595
"100505967",-0.059
"100505975",2.0621
"100505978",-0.1962
"100505984",-1.135
"100505989",1.7161
"100506012",2.1612
"100506013",-0.253
"100506016",-0.2061
"100506022",0.959
"100506025",-0.0889
"100506046",0.3551
"100506047",-1.0164
"100506049",-0.2559
"100506050",-0.2037
"100506054",0.6981
"100506068",-0.1868
"100506070",-0.0221
"100506071",0.0532
"100506076",1.2403
"100506082",0.3013
"100506084",-0.2109
"100506107",-7e-04
"100506108",-0.403
"100506113",-0.5033
"100506115",-0.9727
"100506119",-0.2115
"100506122",-0.2728
"100506124",0.1025
"100506125",0.3627
"100506126",-0.5878
"100506127",0.978433333333333
"100506142",-0.4825
"100506144",-0.2594
"100506161",1.6872
"100506172",-0.0788
"100506175",-0.7472
"100506190",-1.3676
"100506195",-0.109625
