"","GSE45899_MGG4.GBM_vs_Human.embryonic.NSC"
"1",0.321981963160277
"10",0.307990817665063
"100",0.329478567409852
"1000",0.229272760348897
"10000",0.263784961289392
"100009676",0.284929344652013
"10001",0.260731623065011
"10002",0.217311280126022
"10003",0.196807745226132
"100038246",0.422135694242022
"10004",0.253213832736489
"100048912",0.166020988771654
"100049716",0.223278600463809
"10005",0.187340945044363
"10006",0.350602746790551
"10007",0.145444029911536
"10008",0.228261637767885
"10009",0.292189879778968
"100093630",0.242755685668591
"100093698",0.219886114761279
"1001",0.475140833048822
"10010",0.459386254257116
"100101467",0.274417761149395
"100101938",0.368344549125168
"10011",0.179098205241105
"100113407",0.522638589881593
"100124700",0.170871559633028
"100125288",0.242183302890298
"100126791",0.273728840278407
"100126793",0.228222087617998
"100127888",0.171228262483015
"100127950",0.252617293524622
"100127983",0.236890519371659
"100128025",0.183092689324128
"100128071",0.242103748073023
"100128079",0.515422968256606
"100128098",0.262478837059957
"100128124",0.236448287329564
"100128126",0.469485250209005
"100128139",0.219386818432165
"100128164",0.238580596451491
"100128176",0.196507971420422
"100128191",0.273696860447649
"100128239",0.203849546370968
"100128252",0.249632875801198
"100128262",0.365198711063373
"100128285",0.22440537745605
"100128292",0.185627019069676
"100128327",0.156975549619889
"100128496",0.304070816418584
"100128511",0.233393177737882
"100128554",0.158070388349515
"100128590",0.169890676646117
"100128594",0.220076718028737
"100128640",0.225986961752609
"100128653",0.25599723102319
"100128731",0.264236233415522
"100128750",0.178355745229084
"100128782",0.380033128466283
"100128788",0.171751831586757
"100128822",0.477808101120368
"100128881",0.275358324145535
"100128893",0.289272173072634
"100128927",0.486841181837322
"100128946",0.341644343704925
"100128977",0.303730578107755
"100128988",0.312383322962041
"100128993",0.169985429820301
"100128998",0.224521993030046
"100129034",0.230940099810636
"100129128",0.315500470662065
"100129175",0.325758011621886
"100129195",0.187361887549852
"100129196",0.17559816923007
"100129250",0.299135388983849
"100129271",0.243566448341433
"100129361",0.27254548048809
"100129387",0.274095362182578
"100129427",0.15707014826289
"100129460",0.318904910258885
"100129461",0.29542553642466
"100129482",0.312068223515821
"100129516",0.166304937601736
"100129550",0.577395091053048
"100129583",0.250702416312114
"100129597",0.151235306314497
"100129603",0.255995974730251
"100129617",0.278815057565435
"100129654",0.159398496240601
"100129662",0.177587150939953
"100129716",0.189754566210046
"100129722",0.248304686361559
"100129726",0.247150540287166
"100129792",0.416819634765545
"100129794",0.413630509288568
"100129827",0.402482799880347
"100129845",0.456369467607441
"100129858",0.211220497286381
"100129935",0.264627336732217
"100129961",0.25
"100129969",0.508149010477299
"100129973",0.161951342918582
"10013",0.33329791132543
"100130111",0.19992481637157
"100130155",0.257213258249481
"100130249",0.232437682097766
"100130264",0.645466155810983
"100130268",0.350221149979895
"100130275",0.307045045300839
"100130331",0.166059178676237
"100130348",0.194711293662378
"100130357",0.216835526938737
"100130417",0.283766225422281
"100130418",0.291612943803264
"100130452",0.176410045286126
"100130460",0.179945851866177
"100130476",0.175491266375546
"100130519",0.220648323978643
"100130522",0.47605844885725
"100130548",0.231639443436177
"100130557",0.177742193755004
"100130581",0.278216019417476
"100130613",0.210195582657842
"100130691",0.394854123592924
"100130700",0.16123607315535
"100130705",0.42724842826488
"100130717",0.236174221434113
"100130733",0.285875478541205
"100130744",0.173688736027515
"100130776",0.331582077716098
"100130855",0.309984494033574
"100130872",0.41004485063891
"100130889",0.212607356992384
"100130894",0.20005985335927
"100130933",0.237303762132814
"100130934",0.358525157873294
"100130958",0.478807431304928
"100130964",0.172851889000334
"100130967",0.191981863739411
"100130987",0.248469476998426
"100130992",0.177819487514281
"100131017",0.312169312169312
"100131067",0.565562975092638
"100131117",0.176199650125113
"100131138",0.258547512379156
"100131187",0.266533716723866
"100131211",0.198505976095618
"100131213",0.300719419819465
"100131303",0.478816253395758
"100131347",0.296930713836258
"100131366",0.359682399647111
"100131434",0.186822905151448
"100131454",0.286386898669396
"100131496",0.17679293698082
"100131532",0.275973564525298
"100131561",0.185430463576159
"100131564",0.648904279512094
"100131655",0.291769955379276
"100131691",0.24853599724423
"100131733",0.304136253041363
"100131755",0.337992486891218
"100131801",0.207352634867736
"100131814",0.198205716670144
"100131816",0.221771990529958
"100131825",0.256422631422631
"100131827",0.192922060960826
"100131897",0.251824442388735
"100131998",0.164577040916104
"100132057",0.245035419811869
"100132074",0.155800943361732
"100132077",0.262099644128114
"100132078",0.17532140732946
"100132111",0.232712566778172
"100132116",0.144048521607278
"100132234",0.17859705776821
"100132273",0.238450203692468
"100132288",0.362255781088702
"100132341",0.382490880667014
"100132352",0.309528648105866
"100132354",0.441221084565794
"100132356",0.311137758340975
"100132406",0.262087264150943
"100132464",0.191040843214756
"100132618",0.177456769295656
"100132677",0.160225611029873
"100132686",0.3286464191976
"100132707",0.313665479186419
"100132735",0.165656060511346
"100132815",0.263441018254505
"100132891",0.8259874069834
"100132911",0.182022471910112
"100132987",0.229645742697328
"100133190",0.28510160827827
"100133205",0.198008394370834
"100133308",0.243951500974384
"100133311",0.18926967142785
"100133319",0.219845513963161
"100133461",0.348148881409622
"100133612",0.403961584633854
"100133941",0.35260488443578
"100133985",0.310606060606061
"100133991",0.246115766558316
"100134229",0.219536223097908
"100134259",0.447766652951127
"100134368",0.386275356063876
"100134713",0.250970444675045
"100137047",0.254040497863645
"10014",0.250596793980267
"100141515",0.194293231718381
"100144596",0.174453901553479
"100144597",0.312931868163194
"100144602",0.469172141918528
"100144603",0.370317981215345
"100144604",0.460340993328391
"100144748",0.403919834954318
"100147773",0.27566709436096
"10015",0.211736144413236
"10016",0.197434277661694
"100169752",0.263562518131709
"100169890",0.736744353244263
"100169989",0.462253708213416
"10017",0.222673826893948
"100170229",0.425232633629085
"100170765",0.153731787094856
"100170841",0.193708609271523
"10018",0.327291791255666
"100188893",0.196028199727004
"100188953",0.299930101035776
"100189589",0.23524379811805
"10019",0.160047142015321
"100190938",0.303778011487744
"100190939",0.271695594666414
"100192378",0.345039502944717
"100192379",0.220956821952204
"100192386",0.214114832535885
"1002",0.282657163340881
"10020",0.207449389905713
"10021",0.249428874528173
"100216545",0.430428184997031
"100216546",0.414510929486838
"10022",0.211430416532128
"10023",0.249230769230769
"100233209",0.172413793103448
"10024",0.304028103765121
"100240728",0.203123801032385
"100240734",0.368635686552221
"100240735",0.280885431386036
"10025",0.285747843562534
"10026",0.5595559204036
"100270679",0.200767924388983
"100270804",0.196565918503506
"100271722",0.224457371098977
"100272217",0.420715101864497
"100272228",0.333624735437563
"100286844",0.245362632111383
"100286925",0.23993491593308
"100286938",0.224226450319853
"100287015",0.432162720483076
"100287098",0.245290106333796
"100287177",0.251505210690493
"100287216",0.181712675122275
"100287227",0.334926279914055
"100287366",0.153279865932487
"100287387",0.285714285714286
"100287467",0.196944444444444
"100287482",0.763591109558535
"100287497",0.235123449488726
"100287569",0.270078907437923
"100287616",0.265104471782855
"100287765",0.43928736922304
"100287808",0.198829781523431
"100287814",0.203371073465566
"100287902",0.38899338209683
"100287932",0.247912513038173
"100288079",0.561236205906742
"100288122",0.241238068100869
"100288123",0.296067415730337
"100288152",0.245154378104607
"100288175",0.246202217441668
"100288181",0.284813547108629
"100288198",0.235298685055223
"100288413",0.189712346726305
"100288432",0.198890707308648
"100288730",0.629814771758506
"100288797",0.279199258730401
"100288805",0.374989585936849
"100288911",0.53996023057664
"100289019",0.218975332068311
"100289061",0.230265848670757
"100289092",0.386202906004886
"100289098",0.493983030105246
"100289137",0.306917370650317
"100289187",0.255765199161426
"100289230",0.498518549430372
"100289274",0.608267680719055
"100289341",0.368173191818374
"100289361",0.529989603126232
"100289373",0.239731224474401
"100289410",0.344786460699682
"100289495",0.164204250907206
"100289509",0.467012102069063
"100289635",0.339532665712923
"100289678",0.180035191757942
"100292680",0.247308732945714
"100293516",0.310081830459998
"100294362",0.233485467211146
"100294720",0.21193564337606
"1003",0.26415753903519
"100302522",0.255566998512416
"100302650",0.187980433263452
"100302691",0.402022803461304
"100302740",0.148110575703779
"100303728",0.212134014956272
"100306951",0.448872065067267
"100309464",0.304262295081967
"100310756",0.350669022973996
"100316868",0.30910742768593
"100316904",0.296088858662603
"100329135",0.16786102062975
"100359394",0.196230450474536
"10036",0.223219288433195
"100379174",0.292438700842997
"100379661",0.152506337394717
"10038",0.212976159405323
"100381270",0.320014157183053
"10039",0.141817782977479
"1004",0.27685283667613
"10040",0.315318481768227
"100419583",0.309957026606931
"10042",0.18649340323432
"100421436",0.180990899898888
"100421577",0.181613946800863
"100422212",0.245262333594362
"100422737",0.188921500456035
"100423062",0.285239960511934
"10043",0.147540983606557
"10044",0.204559529035997
"10045",0.171130037755729
"10046",0.268874364209687
"10047",0.189470013947001
"10048",0.222363885603476
"10049",0.28552631114057
"100498859",0.273150810997354
"100499171",0.237776903919255
"100499177",0.296082251436617
"100499466",0.217561946392175
"100499467",0.349064820746652
"1005",0.223632971664887
"10050",0.361848667748698
"100500850",0.468346363018355
"100500854",0.179167161931931
"100505474",0.356201788517988
"100505478",0.493639352974391
"100505483",0.545044626255114
"100505495",0.229716981132075
