"","GSE45899_MGG4.GBM_vs_Human.embryonic.NSC"
"1",0.103672384600546
"10",0.0948583437659943
"100",0.108556126382449
"1000",0.0525659986380026
"10000",0.0695825058024462
"100009676",0.0811847314438254
"10001",0.0679809792661148
"10002",0.0472241924700106
"10003",0.0387332885809941
"100038246",0.178198544353194
"10004",0.0641172450891024
"100048912",0.0275629687127178
"100049716",0.0498533334250774
"10005",0.0350966296901152
"10006",0.12292228605708
"10007",0.0211539658369078
"10008",0.0521033752764772
"10009",0.0853749258452478
"100093630",0.0589303229244279
"100093698",0.0483499034648104
"1001",0.225758811230329
"10010",0.211035730600384
"100101467",0.0753051076342466
"100101938",0.135677706870224
"10011",0.0320761671205849
"100113407",0.27315109563342
"100124700",0.0291970898914233
"100125288",0.0586527521988536
"100126791",0.0749274780001616
"100126793",0.0520853212767171
"100127888",0.0293191178729524
"100127950",0.063815496987705
"100127983",0.0561171181681745
"100128025",0.0335229328839416
"100128071",0.058614224831006
"100128079",0.265660836206451
"100128098",0.0688951399043473
"100128124",0.0559077925810842
"100128126",0.220416400163812
"100128139",0.0481305761017875
"100128164",0.0569207010031493
"100128176",0.0386153828317692
"100128191",0.0749099714188999
"100128239",0.0415546375556493
"100128252",0.0623165726807763
"100128262",0.133370098562349
"100128285",0.0503577734311921
"100128292",0.034457390208694
"100128327",0.0246413231784662
"100128496",0.092459061397464
"100128511",0.0544723754145863
"100128554",0.0249862476729663
"100128590",0.0288628420112754
"100128594",0.0484337618183001
"100128640",0.0510701068821752
"100128653",0.0655345822915406
"100128731",0.0698207870496222
"100128750",0.0318107718562221
"100128782",0.144425178731871
"100128788",0.0294986916534057
"100128822",0.228300581496252
"100128881",0.0758222066762374
"100128893",0.0836783901141639
"100128927",0.23701433633276
"100128946",0.116720857585569
"100128977",0.092252264077671
"100128988",0.0975833404648069
"100128993",0.0288950463511925
"100128998",0.0504101253541841
"100129034",0.0533333297005464
"100129128",0.0995405469879843
"100129175",0.106118282135845
"100129195",0.0351044769062433
"100129196",0.0308347170369524
"100129250",0.0894819809425189
"100129271",0.0593246147576597
"100129361",0.0742810389344837
"100129387",0.0751282675699988
"100129427",0.0246710314753263
"100129460",0.101700341787227
"100129461",0.0872762475717981
"100129482",0.0973865761283207
"100129516",0.0276573322707174
"100129550",0.333385091172158
"100129583",0.0628517015447324
"100129597",0.0228721178760397
"100129603",0.0655339390780913
"100129617",0.0777378363252167
"100129654",0.025407880603765
"100129662",0.0315371961789695
"100129716",0.0360067953975626
"100129722",0.0616552172691121
"100129726",0.0610833895642382
"100129792",0.173738607926082
"100129794",0.17109019821432
"100129827",0.161992404199523
"100129845",0.208273090964299
"100129858",0.0446140984739063
"100129935",0.0700276273459859
"100129961",0.0625
"100129969",0.258215416849058
"100129973",0.026228237473132
"10013",0.111087497693894
