"","GSE45899_MGG4.GBM_vs_Human.embryonic.NSC"
"1",2.8719
"10",-3.6592
"100",-1.82535
"1000",-6.6678
"10000",-0.57862
"100009676",-0.61305
"10001",-0.35965
"10002",0.80255
"10003",2.7338
"100038246",-4.5971
"10004",-1.60515
"100048912",-2.4703
"100049716",0.79085
"10005",5.8156
"10006",0.89205
"10007",12.2762
"10008",-1.7529
"10009",0.66285
"100093630",7.3782
"100093698",0.2283
"1001",-4.6864
"10010",2.45583333333333
"100101467",2.1439
"100101938",-1.8575
"10011",0.62255
"100113407",2.9728
"100124700",0.1744
"100125288",-2.7921
"100126791",-2.4362
"100126793",2.9098
"100127888",8.7579
"100127950",2.0632
"100127983",9.1861
"100128025",-1.41085
"100128071",0.90245
"100128079",6.017
"100128098",-1.7129
"100128124",-0.6014
"100128126",-2.5119
"100128139",-0.5447
"100128164",-3.7086
"100128176",0.7967
"100128191",1.3314
"100128239",-3.1744
"100128252",20.63915
"100128262",-2.6999
"100128285",-0.1934
"100128292",-2.76315
"100128327",0.9734
"100128496",-1.7736
"100128511",-0.1671
"100128554",0.6592
"100128590",-1.72315
"100128594",1.5381
"100128640",-3.5741
"100128653",-3.7559
"100128731",3.4068
"100128750",-2.4838
"100128782",2.67976666666667
"100128788",-4.3132
"100128822",5.5696
"100128881",-1.0884
"100128893",-1.3451
"100128927",1.4249
"100128946",-2.4265
"100128977",-2.28943333333333
"100128988",-3.214
"100128993",-0.2059
"100128998",-4.2468
"100129034",-2.00775
"100129128",-1.2748
"100129175",-1.7381
"100129195",2.54295
"100129196",9.0764
"100129250",1.65865
"100129271",-2.3665
"100129361",2.34736666666667
"100129387",4.50673333333333
"100129427",-2.2595
"100129460",3.6271
"100129461",1.2021
"100129482",8.8298
"100129516",-1.1058
"100129550",1.0104
"100129583",2.4914
"100129597",-6.2697
"100129603",-3.5774
"100129617",-2.3191
"100129654",0.133
"100129662",-0.5479
"100129716",-3.504
"100129722",-1.934
"100129726",-2.0267
"100129792",6.1228
"100129794",4.5809
"100129827",-3.343
"100129845",-3.8975
"100129858",3.1692
"100129935",-0.8238
"100129961",-0.1316
"100129969",-2.4052
"100129973",2.3717
"10013",-2.6085
"100130111",-1.56825
"100130155",-11.2774666666667
"100130249",-1.5445
"100130264",-1.566
"100130268",-0.2487
"100130275",4.98965
"100130331",-5.3499
"100130348",-2.9459
"100130357",2.1122
"100130417",-2.4445
"100130418",3.1799
"100130452",0.9716
"100130460",-2.0684
"100130476",-0.3664
"100130519",-6.94795
"100130522",-2.669
"100130548",1.653
"100130557",-0.1249
"100130581",-0.9888
"100130613",-2.6894
"100130691",4.353
"100130700",-3.3299
"100130705",2.6563
"100130717",4.5115
"100130733",2.4815
"100130744",0.5815
"100130776",1.0088
"100130855",4.4499
"100130872",-2.3634
"100130889",-0.6171
"100130894",-1.3366
"100130933",-3.9047
"100130934",-1.4727
"100130958",1.7978
"100130964",0.2991
"100130967",0.8381
"100130987",2.2868
"100130992",1.2254
"100131017",-2.0412
"100131067",2.70885
"100131117",-4.5159
"100131138",1.6964
"100131187",-2.1562
"100131211",1.004
"100131213",-1.5131
"100131303",-3.4602
"100131347",2.8606
"100131366",-1.1335
"100131434",-0.9046
"100131454",0.977
"100131496",-2.2993
"100131532",-2.8144
"100131561",-0.0755
"100131564",1.9348
"100131655",-1.2102
"100131691",2.3224
"100131733",-2.9181
"100131755",1.57678
"100131801",1.9204
"100131814",0.9586
"100131816",-2.1964
"100131825",-2.6936
"100131827",14.9309
"100131897",0.9729
"100131998",9.2042
"100132057",0.8611
"100132074",2.7349
"100132077",-1.124
"100132078",-2.1857
"100132111",-4.0058
"100132116",0.3957
"100132234",-1.1148
"100132273",1.1537
"100132288",5.4013
"100132341",0.1919
"100132352",8.3653
"100132354",-2.637
"100132356",5.6708
"100132406",0.3392
"100132464",-0.0759
"100132618",-0.9484
"100132677",-0.9574
"100132686",-0.5334
"100132707",0.74565
"100132735",-1.5997
"100132815",-3.4019
"100132891",0.8735
"100132911",-0.0445
"100132987",-5.1488
"100133190",-4.0105
"100133205",1.2151
"100133308",-0.8143
"100133311",-1.9813
"100133319",0.8415
"100133461",-3.0306
"100133612",-2.499
"100133941",-14.0903666666667
"100133985",-1.7952
"100133991",-3.3533
"100134229",1.3196
"100134259",-2.1873
"100134368",-2.317
