"","GSE75147_G166.GBM_vs_Fetal.NSC","GSE75147_GSC-0827.GBM_vs_Fetal.NSC"
"1",1.4884,0.5342
"2",4.4464,-4.927
"9",0.58,0.6229
"10",3.7128,0.4125
"12",8.1583,2.619
"14",1.1618,0.6341
"15",1.5093,1.5094
"16",0.7254,1.0783
"18",1.6479,-4.941
"19",-0.1806,-1.4033
"20",2.5604,1.8003
"21",2.522,0.0544
"22",-0.2678,0.9008
"23",1.3127,1.182
"24",-2.8619,-1.2118
"25",0.112,-0.686
"27",-1.0825,0.2587
"29",1.1482,-0.6346
"30",0.1793,0.6523
"31",0.4863,-0.1541
"32",0.3917,0.8168
"33",-2.113,1.9628
"34",-0.7238,-0.092
"35",1.103,1.8155
"36",0.6524,-0.2078
"37",-0.453,0.4872
"38",-0.4086,-0.3195
"39",-0.8523,-0.7318
"41",0.705,0.6408
"43",1.4855,-2.092
"47",0.1123,0.2991
"48",-0.6647,-0.603
"49",-0.9317,-0.2647
"50",0.6764,0.2712
"51",-0.5126,-0.5063
"52",-0.2026,-0.4359
"53",-1.2678,0.4583
"54",-2.8317,-5.3014
"56",1.8288,1.9477
"58",0.5579,-1.5183
"59",-1.5125,-5.7858
"60",-0.0545,0.3691
"71",-0.7554,-0.159
"72",-8.7298,-5.3298
"81",-1.3133,0.621
"86",0.4635,0.9204
"87",-0.5906,-0.262
"88",3.1695,-1.4207
"89",-3.362,-4.6499
"90",-3.1329,-2.191
"91",0.8537,0.1539
"92",-2.0714,-1.868
"93",1.0196,-0.0368
"94",1.1976,-3.1394
"95",2.0419,0.4477
"97",0.9766,1.4104
"98",-0.4581,-0.9573
"100",-1.8511,-1.8082
"101",-0.2617,-1.619
"102",-0.5246,-0.9879
"103",-0.8589,-0.9166
"104",-0.3841,0.6626
"107",6.4059,6.0311
"109",-0.5247,0.2168
"111",-1.5887,-1.6967
"112",-0.0278,0.4891
"113",-1.7747,-1.8034
"115",0.223,-0.5262
"117",8.9046,0.4041
"118",-0.7414,0.1257
"119",10.4269,10.4038
"120",-4.8246,-3.0779
"123",0.4727,-4.2552
"126",-2.967,-0.3503
"127",-5.0499,1.0253
"128",0.0064,-0.1803
"130",1.1587,-0.6388
"132",-0.468,0.0286
"133",-2.4644,-0.7011
"134",3.2729,0.858
"135",5.5584,4.363
"136",1.4126,1.6626
"141",-5.2502,2.6964
"142",1.6399,0.4994
"143",-1.3546,-0.4109
"146",-0.2195,4.3375
"147",0.3552,11.5606
"150",-0.8869,1.1753
"151",4.5537,1.2616
"152",6.0902,2.13
"153",2.8371,3.8037
"154",-6.7986,-0.4389
"156",0.9358,0.7422
"157",-7.768,-8.16
"158",1.385,-0.1397
"159",-0.0147,0.2001
"160",-0.255,0.2329
"161",-0.7513,0.2165
"162",0.9126,0.629
"163",-0.3578,-0.046
"164",-0.395,-0.7689
"165",0.844,-5.9345
"166",-0.5733,0.1579
"172",1.4948,0.4708
"174",-5.0976,-0.3581
"175",-0.8239,0.454
"177",0.0136,-0.555
"178",-1.5577,-0.5756
"182",0.2397,0.5007
"183",7.3588,-0.9573
"185",-2.7873,3.3594
"187",5.8406,1.1169
"191",2.2804,1.0329
"196",-3.4644,-2.2044
"197",0.3482,1.3103
"202",-0.2373,-0.1716
"203",0.8593,0.2112
"204",0.1491,0.8938
"205",1.0255,2.3545
"207",1.5399,0.9536
"208",-0.1767,0.3051
"210",5e-04,-0.0793
"211",0.8835,1.8068
"213",-3.0855,-0.6017
"214",-5.3846,-1.8378
"215",0.1393,1.7124
"216",-9.3501,0.879
"217",-0.9361,1.0236
"218",-1.4452,4.7853
"219",2.7307,1.0928
"220",-5.1609,-0.3193
"221",-0.8767,0.2022
"223",-0.169,-0.5847
"224",-0.2625,-0.2167
"225",-0.8942,-1.7483
"226",1.5423,2.0956
"229",3.7801,1.7622
"230",1.1513,2.2777
"231",2.0225,2.2067
"238",8.7737,1.6949
"239",0.3184,0.0741
"240",-2.1271,-5.785
"241",-0.0075,-0.7004
"242",4.2165,-0.6469
"245",-0.0718,0.8758
"247",2.7674,2.0858
"249",2.2299,-2.0558
"257",-0.4792,-0.2406
"259",3.2635,3.3105
"262",0.6789,-0.3079
"265",-2.3219,-1.3313
"267",0.3146,0.1556
"268",6.5054,3.1647
"271",0.1548,0.1529
"272",-2.2098,3.6295
"273",-7.3994,-2.8334
"274",0.3345,-0.1187
"275",-1.4126,1.1141
"280",-4.0594,0.3101
"283",-0.144,0.8321
"284",-2.0965,-1.5822
"285",3.4354,1.496
"286",-1.3861,-3.6643
"287",-0.8554,-2.5591
"288",-8.1853,-4.1485
"290",-9.7061,-9.4728
"291",-0.5088,0.5342
"292",1.7905,1.9756
"293",2.5376,1.8751
"301",-1.1175,0.8946
"302",-3.2044,-0.8608
"303",-1.3288,-1.2517
"304",-5.3016,-2.6656
"306",-8.8452,1.5119
"307",-4.9607,-1.6258
"308",-3.1972,-0.6794
"309",0.044,-1.749
"310",-0.7906,-0.0234
"311",-1.8012,-0.2269
"312",-0.8684,3.4773
"313",-0.9121,5.8366
"314",2.3752,0.8459
"316",-7.0803,-1.1273
"317",-1.2703,-0.3814
"318",0.391,0.1191
"319",1.1485,0.2005
"320",-2.1239,-0.7061
"321",7.0229,4.7765
"322",-0.4682,-1.0388
"323",-0.9867,-0.2339
"324",0.3484,-0.4176
"327",0.1508,0.489
"328",1.8919,0.3398
"329",-2.1258,-1.1069
"330",-6.1446,-0.9438
"331",-0.3994,0.288
"332",0.818,1.5417
"333",0.4461,0.3972
"334",-0.3658,0.1049
"335",2.5702,-1.3944
"341",2.7813,-0.3125
"347",-2.72,-1.6509
"348",-2.1795,-1.9322
"351",-0.9419,-0.9365
"353",2.129,0.5035
"355",-1.7349,-2.7865
"357",0.4101,0.1795
"358",-1.2004,-2.2526
"359",-1.1028,3.9239
"360",3.4989,2.9913
"361",3.1387,0.5295
"362",-0.4443,3.8697
"363",3.6589,3.9953
"367",0.1038,-0.1574
"368",-3.8475,-0.9365
"369",0.3114,1.2548
"372",-1.2351,-0.5677
"373",-0.286,-0.5727
"375",0.2912,0.3666
"377",0.1862,0.1434
"378",-1.296,0.2758
"379",-1.2419,1.2666
"381",0.6493,0.6865
"382",0.4748,0.3541
"383",-0.7224,-0.8289
"384",1.2158,1.211
"387",-0.5635,-0.048
"388",0.949,0.0761
"389",-1.5063,0.2794
"390",-2.7909,-3.4726
"391",-0.7455,0.8313
"392",-1.102,0.1392
"393",6.1568,0.6795
"394",0.1063,0.0522
"395",-7.5422,-2.7743
"396",0.9067,1.291
"397",1.821,-2.8906
"398",4.0511,-0.7586
"399",1.4082,2.613
"400",-1.4439,-0.6989
"402",0.9332,0.9731
"403",-0.6757,-0.5261
"405",-0.4385,-0.0757
"406",-1.2223,-0.3086
"407",-0.1732,0.0968
"408",1.2286,-4.6557
"409",1.4029,1.5095
"410",-0.9388,-0.0221
"411",-0.7581,-0.8254
"412",-1.6734,-1.6786
"414",-0.8838,-0.23
"415",-5.0536,0.6771
"419",2.9158,0.3038
"420",2.7207,0.7016
"421",3.2538,0.1696
"427",0.2645,-0.1355
"432",1.925,-1.0996
"434",1.0165,0.9879
"435",-0.4118,1.7135
"438",-0.6257,-0.6543
"439",0.8725,0.1906
"440",-2.2617,0.4497
"443",1.7105,-1.8222
"444",0.1381,-0.887
"445",-3.3604,-6.476
"460",-4.4859,-7.6126
"462",-1.9481,0.0259
"463",-3.1426,-1.164
"466",-1.0214,0.0156
"467",-2.445,0.3523
"468",-0.1594,0.09
"471",1.2176,-0.0263
"472",-1.5592,-1.6198
"473",-0.3573,0.4175
"475",0.7665,1.1982
"476",0.0149,2.2312
"477",-10.5015,-6.4154
"478",4.4757,-2.7593
"481",1.4611,2.8361
"482",4.2223,-3.7941
"483",-0.0603,1.4372
"486",-1.9323,-5.0095
"487",1.7777,0.005
"488",0.019,-0.4365
"489",5.4015,1.3863
"490",-1.3693,-2.1446
"491",9.187,2.0788
"492",3.8203,3.2995
"493",-2.326,-1.1715
"498",0.2848,-0.2188
"501",-0.0273,-1.3998
"506",0.6484,1.1563
"509",0.1622,0.0896
"513",1.4719,1.6822
"514",0.2068,0.7114
"515",-0.3678,0.2942
"516",1.0991,1.9961
"517",1.2116,0.8591
"518",0.9664,-12.3648
"521",1.1349,1.0308
"522",-0.0707,0.1246
"523",-0.7966,0.1565
"525",2.3462,2.7568
"526",0.7667,-0.0554
"527",1.8553,1.246
"528",0.5955,-0.0776
"529",0.5331,0.117
"533",1.2263,2.1773
"534",-0.5987,-0.7122
"535",0.34,-0.0386
"537",0.6218,0.8969
"538",-1.778,-1.6858
"539",0.1843,0.142
"540",1.0446,-1.8431
"545",0.1819,0.4708
"546",-1.358,-0.3967
"547",2.8276,5.9673
"549",-0.2776,-0.0409
