"","GSE75147_G166.GBM_vs_Fetal.NSC","GSE75147_GSC-0827.GBM_vs_Fetal.NSC"
"1",0.146958267122214,0.146180893954282
"2",0.710432357858933,1.7780183512445
"9",0.189889030070091,0.169026214583197
"10",0.727020184026672,0.853502857236011
"12",0.91449028431525,1.12601841431761
"14",0.0438805125032964,0.0400985890640942
"15",0.720021946323221,0.662452915786882
"16",0.0356967256443243,0.030749777199492
"18",0.0720413019063426,0.161786776246587
"19",0.154746525417581,0.146678484700338
"20",0.108465855525714,0.10367264366762
"21",0.0751850831165927,0.077986583406769
"22",0.0751178447401381,0.0602619208832318
"23",0.0491885069358078,0.0438126354147338
"24",0.614178968542953,0.40278015051784
"25",0.0383124864620459,0.0349109097501729
"27",0.0459814545187036,0.0361201027096711
"29",0.044861756161458,0.0440156182924674
"30",0.0618944253298593,0.0529592510147239
"31",0.036465911165502,0.0330149885521311
"32",0.127216740587178,0.109469925889604
"33",1.00513087665707,0.54448864265928
"34",0.0675391469458093,0.0553350138249276
"35",0.201628930946192,0.176026709065172
"36",0.0623517739835064,0.0599632317836829
"37",0.0588907857694844,0.0483190376762212
"38",0.0677066713546122,0.058781778043544
"39",0.0536575660514354,0.0457057681240537
"41",0.3550274327399,0.328813729111301
"43",0.201547784073786,0.273939755542201
"47",0.0297575748995401,0.0256596748385882
"48",0.0438485684569154,0.0376323053281008
"49",1.17478766352959,0.956868588540753
"50",0.0475317295648735,0.0429305482746717
"51",0.0443195094060161,0.0382902945460794
"52",0.0382879893754522,0.0336772639322669
"53",0.053020626634163,0.0380948736440285
"54",0.304786140448825,0.381258567815381
"56",1.15740586381302,1.06717863739736
"58",0.618138094694885,0.676915021224072
"59",0.0992327416430618,0.14450607852769
"60",0.0208098570728362,0.0177591685203451
"71",0.0449189741373165,0.0373790315712577
"72",0.25107737753265,0.0825274103555316
"81",0.038509165496207,0.02952452166592
"86",0.0673272197005448,0.0580380499533775
"87",0.0287478338196031,0.0242402768677217
"88",0.227875523668204,0.324055952188399
"89",1.16907461312324,1.12673044292076
"90",0.0608008351051556,0.0428169643410717
"91",0.055630556050278,0.0527312896082277
"92",0.0546317170116346,0.0441887587035643
"93",0.050483541187047,0.0490858563909586
"94",0.493430230140496,0.77370584053461
