"","GSE75147_G166.GBM_vs_Fetal.NSC","GSE75147_GSC-0827.GBM_vs_Fetal.NSC"
"1",3.8826,1.3972
"2",5.2753,-3.695
"9",1.331,1.5151
"10",4.3544,0.4465
"12",8.5312,2.4681
"14",5.5462,3.1666
"15",1.7787,1.8545
"16",3.8394,6.1492
"18",6.1396,-12.2841
"19",-0.4591,-3.6641
"20",7.7743,5.5913
"21",9.1977,0.1948
"22",-0.9771,3.6695
"23",5.9188,5.647
"24",-3.6518,-1.9094
"25",0.5722,-3.6715
"27",-5.0482,1.3612
"29",5.421,-3.0248
"30",0.7207,2.8345
"31",2.5466,-0.8481
"32",1.0982,2.4687
"33",-2.1076,2.66
"34",-2.7851,-0.3911
"35",2.4564,4.3272
"36",2.6127,-0.8486
"37",-1.8667,2.2164
"38",-1.5703,-1.3178
"39",-3.6794,-3.423
"41",1.1832,1.1175
"43",3.3089,-3.997
"47",0.651,1.8672
"48",-3.1743,-3.1084
"49",-0.8596,-0.2706
"50",3.1025,1.3089
"51",-2.4349,-2.5874
"52",-1.0354,-2.3753
"53",-5.5059,2.3481
"54",-5.1292,-8.5858
"56",1.6999,1.8854
"58",0.7096,-1.8454
"59",-4.8014,-15.2202
"60",-0.3778,2.7697
"71",-3.5642,-0.8224
"72",-17.4221,-18.5529
"81",-6.6924,3.6141
"86",1.7863,3.8205
"87",-3.4833,-1.6828
"88",6.6396,-2.4957
"89",-3.1094,-4.3806
"90",-12.7055,-10.5885
"91",3.6195,0.6702
"92",-8.8622,-8.8863
"93",4.5379,-0.1661
"94",1.7049,-3.5691
"95",6.3088,1.3457
"97",3.1105,4.8089
"98",-1.5182,-3.3132
"100",-4.841,-5.1186
"101",-0.4687,-2.8146
"102",-2.8542,-5.7098
"103",-4.964,-5.712
"104",-1.5178,2.921
"107",11.288,10.7343
"109",-2.0293,0.9245
"111",-1.7183,-1.9896
"112",-0.1166,2.2251
"113",-5.4745,-6.0057
"115",1.0449,-2.5409
"117",10.6958,0.4089
"118",-4.5445,0.8533
"119",11.7172,11.7506
"120",-21.8363,-17.5934
"123",2.0589,-14.0034
"126",-2.8078,-0.4215
"127",-4.292,1.54
"128",0.0339,-1.0275
"130",1.101,-0.5954
"132",-1.8453,0.1235
"133",-7.3513,-2.5727
"134",7.9912,1.9933
"135",2.222,1.7242
"136",5.0547,6.2843
"141",-6.3182,5.9842
"142",7.818,2.4598
"143",-7.5455,-2.5584
"146",-0.3348,8.2805
"147",0.3032,13.4775
"150",-0.7881,1.23
"151",5.3729,1.3671
"152",6.4821,2.0524
"153",2.5458,3.7152
"154",-8.1107,-1.0399
"156",4.272,3.5606
"157",-15.267,-17.589
"158",6.0501,-0.614
"159",-0.0581,0.8503
"160",-1.2811,1.2739
"161",-3.4918,1.119
"162",4.9619,3.6171
"163",-2.2349,-0.3121
"164",-2.3967,-4.966
"165",3.1077,-14.8398
"166",-2.8092,0.8511
"172",5.6465,1.7956
"174",-5.574,-0.6126
"175",-2.4335,1.5425
"177",0.0325,-1.3615
"178",-5.5162,-2.3267
"182",1.4406,3.2467
"183",7.3513,-0.7695
"185",-5.1366,9.4141
"187",6.234,1.0525
"191",9.4037,4.3552
"196",-11.9601,-9.3016
"197",0.3611,1.5215
"202",-0.7787,-0.6034
"203",3.4183,0.8632
"204",0.791,5.1862
"205",1.4528,3.6629
"207",8.7907,5.6963
"208",-0.8115,1.5214
"210",0.0018,-0.3197
"211",3.3883,7.529
"213",-2.7921,-0.6843
"214",-27.2466,-12.3722
"215",0.431,5.9752
"216",-12.7998,3.4995
"217",-3.2106,4.1159
"218",-1.8216,8.3359
"219",10.8147,4.3158
"220",-9.955,-1.053
"221",-2.0685,0.5378
"223",-0.8814,-3.2245
"224",-0.9944,-0.8829
"225",-1.8131,-3.5924
"226",7.2189,10.5661
"229",3.9758,1.7807
"230",2.4456,5.2632
"231",10.6534,12.3023
"238",9.0783,1.5986
"239",0.7,0.1706
"240",-3.6442,-7.9823
"241",-0.0063,-0.6064
"242",4.5122,-0.5953
"245",-0.0645,0.885
"247",2.7506,2.1194
"249",3.1505,-2.4305
"257",-1.2262,-0.6661
"259",3.253,3.4583
"262",3.3544,-1.5814
"265",-2.3631,-1.5551
"267",1.8553,0.9783
"268",9.5675,4.463
"271",0.7103,0.7468
"272",-3.6296,8.6055
"273",-9.366,-6.7046
"274",1.5513,-0.5774
"275",-2.4079,2.3468
"280",-8.1245,0.9658
"283",-0.3099,2.0013
