"","Probe","NCBIid","GeneSymbol","GeneName","pvalue","corrected_pvalue","rank","contrast_121770_coefficient","contrast_121770_log2fc","contrast_121770_tstat","contrast_121770_pvalue","contrast_121772_coefficient","contrast_121772_log2fc","contrast_121772_tstat","contrast_121772_pvalue"
"1",1281,1281,"COL3A1","collagen type III alpha 1 chain",1.075e-11,7.898e-08,9.078e-05,-18.0464,-18.0464,-23.7356,2.844e-10,-17.3681,-17.3681,-29.7973,2.871e-11
"2",1956,1956,"EGFR","epidermal growth factor receptor",4.565e-12,7.898e-08,4.539e-05,4.1141,4.1141,26.2002,1.052e-10,-1.4373,-1.4373,-8.4893,6.058e-06
"3",83543,83543,"AIF1L","allograft inflammatory factor 1 like",1.075e-11,7.898e-08,1e-04,8.7578,8.7578,23.5953,3.019e-10,0.8205,0.8205,1.9496,0.0792
"4",440738,440738,"MAP1LC3C","microtubule associated protein 1 light chain 3 gamma",7.226e-11,8.543e-08,7e-04,-8.0644,-8.0644,-22.1447,5.707e-10,-10.5143,-10.5143,-24.023,2.52e-10
"5",1293,1293,"COL6A3","collagen type VI alpha 3 chain",8.302e-11,8.543e-08,9e-04,-8.4928,-8.4928,-21.2474,8.636e-10,-8.2933,-8.2933,-24.7843,1.841e-10
"6",51050,51050,"PI15","peptidase inhibitor 15",7.747e-11,8.543e-08,8e-04,-7.7399,-7.7399,-21.94,6.263e-10,-7.0731,-7.0731,-25.449,1.411e-10
"7",2977,2977,"GUCY1A2","guanylate cyclase 1 soluble subunit alpha 2",4.518e-11,8.543e-08,5e-04,-12.6574,-12.6574,-22.2033,5.557e-10,-4.7557,-4.7557,-26.267,1.026e-10
"8",26002,26002,"MOXD1","monooxygenase DBH like 1",4.265e-11,8.543e-08,4e-04,-13.4903,-13.4903,-19.9208,1.645e-09,-6.2426,-6.2426,-27.8728,5.637e-11
"9",6299,6299,"SALL1","spalt like transcription factor 1",4.598e-11,8.543e-08,5e-04,4.8343,4.8343,20.2033,1.429e-09,-5.1108,-5.1108,-12.9355,1.156e-07
"10",23025,23025,"UNC13A","unc-13 homolog A",7.082e-11,8.543e-08,7e-04,6.2301,6.2301,20.2947,1.366e-09,-3.8019,-3.8019,-8.1717,8.542e-06
"11",3910,3910,"LAMA4","laminin subunit alpha 4",4.377e-11,8.543e-08,4e-04,-3.1653,-3.1653,-18.5121,3.416e-09,-6.5948,-6.5948,-31.7208,1.525e-11
"12",1009,1009,"CDH11","cadherin 11",7.81e-11,8.543e-08,9e-04,-7.9123,-7.9123,-23.0572,3.806e-10,-5.7409,-5.7409,-24.9161,1.746e-10
"13",6277,6277,"S100A6","S100 calcium binding protein A6",8.799e-11,8.543e-08,0.001,8.1358,8.1358,23.4455,3.218e-10,9.9109,9.9109,29.1641,3.568e-11
"14",6422,6422,"SFRP1","secreted frizzled related protein 1",5.666e-11,8.543e-08,6e-04,7.666,7.666,21.3148,8.367e-10,-3.9422,-3.9422,-7.0398,3.171e-05
"15",3754,3754,"KCNF1","potassium voltage-gated channel modifier subfamily F member 1",5.095e-11,8.543e-08,5e-04,14.3722,14.3722,18.1283,4.207e-09,6.2456,6.2456,7.5247,1.776e-05
"16",11167,11167,"FSTL1","follistatin like 1",8.919e-11,8.543e-08,0.001,-6.3321,-6.3321,-28.9983,3.779e-11,-3.1548,-3.1548,-19.6494,1.886e-09
"17",7425,7425,"VGF","VGF nerve growth factor inducible",2.122e-11,8.543e-08,2e-04,10.6694,10.6694,21.5823,7.385e-10,0.2076,0.2076,0.3565,0.7287
"18",64131,64131,"XYLT1","xylosyltransferase 1",6.88e-11,8.543e-08,6e-04,8.3066,8.3066,21.2095,8.792e-10,-5.4168,-5.4168,-8.031,9.979e-06
"19",64093,64093,"SMOC1","SPARC related modular calcium binding 1",3.02e-11,8.543e-08,2e-04,6.9505,6.9505,23.9561,2.592e-10,-7.6391,-7.6391,-12.3321,1.834e-07
"20",2318,2318,"FLNC","filamin C",4.21e-11,8.543e-08,3e-04,-5.3308,-5.3308,-22.858,4.152e-10,-10.112,-10.112,-27.1547,7.335e-11
"21",5354,5354,"PLP1","proteolipid protein 1",7.539e-11,8.543e-08,8e-04,5.3343,5.3343,19.4493,2.089e-09,-4.1637,-4.1637,-9.9862,1.359e-06
"22",10687,10687,"PNMA2","PNMA family member 2",8.904e-11,8.543e-08,0.001,3.6173,3.6173,17.1184,7.428e-09,-6.109,-6.109,-16.2233,1.263e-08
"23",9353,9353,"SLIT2","slit guidance ligand 2",4.241e-11,8.543e-08,3e-04,-14.0879,-14.0879,-18.9231,2.746e-09,-8.4874,-8.4874,-28.0076,5.369e-11
"24",9411,9411,"ARHGAP29","Rho GTPase activating protein 29",1.046e-10,9.22e-08,0.0011,-9.0981,-9.0981,-30.13,2.566e-11,-1.1744,-1.1744,-8.4055,6.626e-06
"25",51363,51363,"CHST15","carbohydrate sulfotransferase 15",1.041e-10,9.22e-08,0.0011,-8.409,-8.409,-23.4675,3.188e-10,-4.7069,-4.7069,-23.1636,3.634e-10
