"","Entrez_ID","Gene_symbol","Gene_description","Chromosome","Map_location","Model_scientific_name","Model_common_name","Gene_function"
"1","7020","TFAP2A","transcription factor AP-2 alpha","6","6p24.3","Homo sapiens","human","The protein encoded by this gene is a transcription factor that binds the consensus sequence 5'-GCCNNNGGC-3'. The encoded protein functions as either a homodimer or as a heterodimer with similar family members. This protein activates the transcription of some genes while inhibiting the transcription of others. Defects in this gene are a cause of branchiooculofacial syndrome (BOFS). Three transcript variants encoding different isoforms have been found for this gene.[provided by RefSeq, Dec 2009]"
"2","51373","MRPS17","mitochondrial ribosomal protein S17","7","7p11.2","Homo sapiens","human","Mammalian mitochondrial ribosomal proteins are encoded by nuclear genes and help in protein synthesis within the mitochondrion. Mitochondrial ribosomes (mitoribosomes) consist of a small 28S subunit and a large 39S subunit. They have an estimated 75% protein to rRNA composition compared to prokaryotic ribosomes, where this ratio is reversed. Another difference between mammalian mitoribosomes and prokaryotic ribosomes is that the latter contain a 5S rRNA. Among different species, the proteins comprising the mitoribosome differ greatly in sequence, and sometimes in biochemical properties, which prevents easy recognition by sequence homology. This gene encodes a 28S subunit protein that belongs to the ribosomal protein S17P family. The encoded protein is moderately conserved between human mitochondrial and prokaryotic ribosomal proteins. Pseudogenes corresponding to this gene are found on chromosomes 1p, 3p, 6q, 14p, 18q, and Xq. [provided by RefSeq, Jul 2008]"
"3","10549","PRDX4","peroxiredoxin 4","X","Xp22.11","Homo sapiens","human"," The protein encoded by this gene is an antioxidant enzyme and belongs to the peroxiredoxin family. The protein is localized to the cytoplasm. Peroxidases of the peroxiredoxin family reduce hydrogen peroxide and alkyl hydroperoxides to water and alcohol with the use of reducing equivalents derived from thiol-containing donor molecules. This protein has been found to play a regulatory role in the activation of the transcription factor NF-kappaB. [provided by RefSeq, Jul 2008]"
"4","221830","POLR1F","RNA polymerase I subunit F","7","7p21.1","Homo sapiens","human","Predicted to enable DNA-directed 5'-3' RNA polymerase activity. Predicted to be involved in DNA-templated transcription, initiation. Predicted to act upstream of or within cellular response to leukemia inhibitory factor. Predicted to be located in nucleoplasm. Predicted to be part of RNA polymerase I complex. [provided by Alliance of Genome Resources, Apr 2022]"
"5","54838","WBP1L","WW domain binding protein 1 like","10","10q24.32","Homo sapiens","human","Predicted to enable ubiquitin protein ligase binding activity. Predicted to act upstream of or within CXCL12-activated CXCR4 signaling pathway; hemopoiesis; and positive regulation of protein ubiquitination. Predicted to be integral component of membrane. [provided by Alliance of Genome Resources, Apr 2022]"
"6","221895","JAZF1","JAZF zinc finger 1","7","7p15.2-p15.1","Homo sapiens","human","This gene encodes a nuclear protein with three C2H2-type zinc fingers, and functions as a transcriptional repressor. Chromosomal aberrations involving this gene are associated with endometrial stromal tumors. Alternatively spliced variants which encode different protein isoforms have been described; however, not all variants have been fully characterized [provided by RefSeq, Jul 2008]"
"7","11097","NUP42","nucleoporin 42","7","7p15.3","Homo sapiens","human","Enables nuclear export signal receptor activity. Involved in protein export from nucleus. Located in cytosol and nucleoplasm. Colocalizes with nuclear envelope. [provided by Alliance of Genome Resources, Apr 2022]"
"8","54543","TOMM7","translocase of outer mitochondrial membrane 7","7","7p15.3","Homo sapiens","human","This gene encodes a subunit of the translocase of the outer mitochondrial membrane. The encoded protein regulates the assembly and stability of the translocase complex. [provided by RefSeq, Oct 2012]"
"9","5230","PGK1","phosphoglycerate kinase 1","X","Xq21.1","Homo sapiens","human","The protein encoded by this gene is a glycolytic enzyme that catalyzes the conversion of 1,3-diphosphoglycerate to 3-phosphoglycerate. The encoded protein may also act as a cofactor for polymerase alpha. Additionally, this protein is secreted by tumor cells where it participates in angiogenesis by functioning to reduce disulfide bonds in the serine protease, plasmin, which consequently leads to the release of the tumor blood vessel inhibitor angiostatin. The encoded protein has been identified as a moonlighting protein based on its ability to perform mechanistically distinct functions. Deficiency of the enzyme is associated with a wide range of clinical phenotypes hemolytic anemia and neurological impairment. Pseudogenes of this gene have been defined on chromosomes 19, 21 and the X chromosome. [provided by RefSeq, Jan 2014]"
"10","2535","FZD2","frizzled class receptor 2","17","17q21.31","Homo sapiens","human","This intronless gene is a member of the frizzled gene family. Members of this family encode seven-transmembrane domain proteins that are receptors for the wingless type MMTV integration site family of signaling proteins. This gene encodes a protein that is coupled to the beta-catenin canonical signaling pathway. Competition between the wingless-type MMTV integration site family, member 3A and wingless-type MMTV integration site family, member 5A gene products for binding of this protein is thought to regulate the beta-catenin-dependent and -independent pathways. [provided by RefSeq, Dec 2010]"
